resolution_id,repeat_id,fold_id,component,loss_full,loss_reduced,delta_loss,delta_loss_clamped,share,defined
genus,1,1,Abiotic,4508.80361328125,528.7445007324219,-3980.0591125488286,0,0,TRUE
genus,1,1,Spatial,4508.80361328125,4512.767504882812,3.9638916015619543,3.9638916015619543,100,TRUE
genus,1,1,Associations,4508.80361328125,4501.961083984375,-6.842529296875,0,0,TRUE
genus,1,2,Abiotic,4559.2953125,549.4618194580078,-4009.8334930419924,0,0,TRUE
genus,1,2,Spatial,4559.2953125,4570.893310546875,11.597998046874636,11.597998046874636,100,TRUE
genus,1,2,Associations,4559.2953125,4547.464331054687,-11.830981445313228,0,0,TRUE
genus,1,3,Abiotic,4638.500927734375,521.5281311035156,-4116.972796630859,0,0,TRUE
genus,1,3,Spatial,4638.500927734375,4640.295971679688,1.7950439453125,1.7950439453125,100,TRUE
genus,1,3,Associations,4638.500927734375,4632.435546875,-6.065380859375182,0,0,TRUE
genus,1,4,Abiotic,4634.417065429688,534.6251556396485,-4099.791909790039,0,0,TRUE
genus,1,4,Spatial,4634.417065429688,4635.9781494140625,1.561083984374818,1.561083984374818,100,TRUE
genus,1,4,Associations,4634.417065429688,4624.133154296875,-10.283911132813046,0,0,TRUE
genus,1,5,Abiotic,4717.2845703125,507.4390563964844,-4209.845513916016,0,NA,FALSE
genus,1,5,Spatial,4717.2845703125,4715.622534179687,-1.6620361328132276,0,NA,FALSE
genus,1,5,Associations,4717.2845703125,4715.372143554688,-1.912426757812682,0,NA,FALSE
