repeat_id,fold_id,variant,selection_metric,tune_step,alpha_cov,alpha_coef,alpha_spatial,lambda_cov,lambda_coef,lambda_spatial,ll_test,loss,auc_test,auc_macro_test,pred_log_loss,pred_brier,status,error_message
1,1,full,loss,1,0.5,0.5,0.5,0.015625,9.765625e-4,9.765625e-4,4508.80361328125,4508.80361328125,0.5337766783393718,0.5673014421556696,6.65711682821038,0.4892788820748537,ok,NA
1,2,full,loss,1,0.5,0.5,0.5,0.015625,9.765625e-4,9.765625e-4,4559.2953125,4559.2953125,0.4943067124810546,0.47757253977012043,6.754594452420689,0.4994595220260849,ok,NA
1,3,full,loss,1,0.5,0.5,0.5,0.015625,9.765625e-4,9.765625e-4,4638.500927734375,4638.500927734375,0.5275302154183826,0.5328469130682751,6.835116144725555,0.4969349733305124,ok,NA
1,4,full,loss,1,0.5,0.5,0.5,0.015625,9.765625e-4,9.765625e-4,4634.417065429688,4634.417065429688,0.4585599109181733,0.4357535285102721,6.8472172521966925,0.5038427014294172,ok,NA
1,5,full,loss,1,0.5,0.5,0.5,0.015625,9.765625e-4,9.765625e-4,4717.2845703125,4717.2845703125,0.5108520011990838,0.5740120348086102,6.8866955509911545,0.498474612805878,ok,NA
1,1,no_abiotic,loss,1,0.5,0.5,0.5,0.015625,0.25,0.25,528.7445007324219,528.7445007324219,0.5436959676595415,0.5250356377178534,0.8043608401489616,0.2817348358845731,ok,NA
1,2,no_abiotic,loss,1,0.5,0.5,0.5,0.015625,0.25,0.25,549.4618194580078,549.4618194580078,0.5030549766980688,0.50396952806227,0.8511945507856047,0.2937247173231806,ok,NA
1,3,no_abiotic,loss,1,0.5,0.5,0.5,0.015625,0.25,0.25,521.5281311035156,521.5281311035156,0.4705015377798572,0.436025272097026,0.7775331109948707,0.27950587858209297,ok,NA
1,4,no_abiotic,loss,1,0.5,0.5,0.5,0.015625,0.25,0.25,534.6251556396485,534.6251556396485,0.4770759735446268,0.43539167401995177,0.8330635993129623,0.2795001513238192,ok,NA
1,5,no_abiotic,loss,1,0.5,0.5,0.5,0.015625,0.25,0.25,507.4390563964844,507.4390563964844,0.5157525581501197,0.4971174499739165,0.7700426907271593,0.27563310325987167,ok,NA
1,1,no_spatial,loss,1,0.5,0.5,NA,0,0.25,NA,4512.767504882812,4512.767504882812,0.5324889036140971,0.5665205175409257,6.665608143598553,0.49025664022347304,ok,NA
1,2,no_spatial,loss,1,0.5,0.5,NA,0,0.25,NA,4570.893310546875,4570.893310546875,0.4923243901862323,0.477290575778479,6.77665681720076,0.5003339363032266,ok,NA
1,3,no_spatial,loss,1,0.5,0.5,NA,0,0.25,NA,4640.295971679688,4640.295971679688,0.5275302154183826,0.5328469130682751,6.845651235960543,0.4969484082756738,ok,NA
1,4,no_spatial,loss,1,0.5,0.5,NA,0,0.25,NA,4635.9781494140625,4635.9781494140625,0.4589538184811985,0.43587540046347323,6.839516167664203,0.502985710200675,ok,NA
1,5,no_spatial,loss,1,0.5,0.5,NA,0,0.25,NA,4715.622534179687,4715.622534179687,0.511394535921306,0.5748102468137187,6.8866955509911545,0.498474612805878,ok,NA
1,1,no_associations,loss,1,0.5,0.5,0.5,0.25,0,0,4501.961083984375,4501.961083984375,0.5337766783393718,0.5673014421556696,6.65711682821038,0.4892788820748537,ok,NA
1,2,no_associations,loss,1,0.5,0.5,0.5,0.25,0,0,4547.464331054687,4547.464331054687,0.4943067124810546,0.47757253977012043,6.754594452420689,0.4994595220260849,ok,NA
1,3,no_associations,loss,1,0.5,0.5,0.5,0.25,0,0,4632.435546875,4632.435546875,0.5275302154183826,0.5328469130682751,6.835116144725555,0.4969349733305124,ok,NA
1,4,no_associations,loss,1,0.5,0.5,0.5,0.25,0,0,4624.133154296875,4624.133154296875,0.4585599109181733,0.4357535285102721,6.8472172521966925,0.5038427014294172,ok,NA
1,5,no_associations,loss,1,0.5,0.5,0.5,0.25,0,0,4715.372143554688,4715.372143554688,0.5108520011990838,0.5740120348086102,6.8866955509911545,0.498474612805878,ok,NA
